EC456, WIRELESS NETWORKS
EC463, MICROCOMPUTER INTERFACING
EC481, ADV TOPICS IN COMPUTER ENGR
EC482, ADV TOPICS IN COMPUTER ENGR
EC485E, COMPUTER AND NETWORK SECURITY FUNDAMENTALS
EC486A, ADV TOPICS IN COMPUTER ENGR
EC488A, ADV TOPICS IN COMPUTER ENGR
EC488B, ADV TOPICS IN COMPUTER ENGR
EC495, COMPUTER ENGR RESEARCH
EC496, COMPUTER ENGR RESEARCH
EE221, INTRODUCTION TO ELECTRICAL ENGINEERING I
EE226, CIRCUIT ANALYSIS
EE228, INTRODUCTION TO ELECTRICAL ENGINEERING II
EE232, CIRCUIT ANALYSIS
EE241, ELECTRONICS I
EE242, DIGITAL SYSTEMS
EE300, INTRODUCTION TO FUNDAMENTAL ELECTRICAL TECHNOLOGY
EE301, ELECTRICAL FUND AND APPL
EE301L, ELECTRICAL FUND AND APPL - LAB
EE302, ELECTRONIC COMM SYS AND DIGITAL COMM
EE302A, ELECTRONIC COMM SYS AND DIGITAL COMM (CS/IT ONLY)
EE303, DIGITAL COMMUNICATIONS
EE311, ELECTRICAL FUNDAMENTALS AND APPLICATIONS I
EE312, ELECTRICAL FUNDAMENTALS AND APPLICATIONS II
EE313, LOGIC DESIGN AND MICROPROCESSORS
EE320, INTRO TO ELECTRICAL ENGR II
EE322, SIGNALS AND SYSTEMS
EE322N, SIGNALS AND SYSTEMS
EE331, ELECTRICAL ENGINEERING I
EE331L, ELECTRICAL ENGINEERING I - LAB
EE332, ELECTRICAL ENGINEERING II
EE334, ELECTRICAL ENGR AND IT SYSTEMS
EE341, ELECTRONICS I
EE342, ELECTRONICS II
EE344, SOLID-STATE POWER ELECTRONICS
EE353, PROB STATS & LIN ALG FOR ECE
EE354, MODERN COMM SYSTEMS WITH CYBER APPLICATIONS
EE361, MICROCOMPUTER-BASED DESIGN
EE362, COMPUTER ARCHITECTURE
EE372, ENGINEERING ELECTROMAGNETICS
EE411, ELECT & COMP ENG DESIGN I
EE412, ELECTRICAL ENGR DESIGN II
EE414, ELECTRICAL ENG DESIGN II
EE415, COMPUTER ENG DESIGN II
EE420, ELECTRIC MACHINES AND DRIVES
EE421, ENERGY CONVERSION
EE422, MACHINE CONTROL
EE423, ELECTRICAL ENGR DESIGN
EE426, FUNDAMENTALS OF ELECTRONIC INSTRUMENTATION
EE431, ADVANCED COMMUNICATION THEORY
EE432, DIGITAL SIGNAL PROCESSING
EE432L, DIGITAL SIGNAL PROCESSING LAB
EE433, WIRELESS AND CELLULAR COMMUNICATIONS SYSTEMS I
EE434, WIRELESS AND CELLULAR COMMUNICATIONS SYSTEMS II
EE435, BIOMETRIC SIGNAL PROCESSING
EE451, ELECTRONIC PROPERTIES OF SEMICONDUCTORS
EE452, SEMICONDUCTOR ELECTRONICS
EE461, MICROCOMPUTER-BASED DIGITAL DESIGN
EE462, MICROCOMPUTER INTERFACING
EE464, INTRODUCTION TO COMPUTER NETWORKS
EE471, RF POWER ELECTRONICS
EE472, FIBER OPTICAL COMMUNICATIONS
EE482, ADVANCED TOPICS IN ELECTRICAL ENGR
EE482A, ADVANCED TOPICS IN ELECTRICAL ENGR
EE485A, ADVANCED TOPICS IN ELECTRICAL ENGR
EE485F, ADVANCED TOPICS IN ELECTRICAL ENGR
EE485G, ADVANCED TOPICS IN ELECTRICAL ENGR
EE485I, ADVANCED TOPICS IN ELECTRICAL ENGR
EE485S, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486A, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486C, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486D, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486E, ADVANCED TOPICS IN ELECTRICAL ENGR
EE486F, ADVANCED TOPICS IN ELECTRICAL ENGR
EE487, ADVANCED TOPICS IN ELECTRICAL ENGR
EE487A, ADVANCED TOPICS IN ELECTRICAL ENGR
EE487B, ADVANCED TOPICS IN ELECTRICAL ENGR
EE488, ADVANCED TOPICS IN ELECTRICAL ENGR
EE488A, ADVANCED TOPICS IN ELECTRICAL ENGR
EE488B, ADVANCED TOPICS IN ELECTRICAL ENGR
EE488C, ADVANCED TOPICS IN ELECTRICAL ENGR
EE491, ELECTRICAL ENGR RESEARCH
EE492, ELECTRICAL ENGR RESEARCH
EE493, ELECTRICAL ENGR  RESEARCH
EE494, ELECTRICAL ENGR RESEARCH
EE495, ELECTRICAL ENGR RESEARCH
EE496, ELECTRICAL ENGR RESEARCH
EE497, INDEPENDENT RESEARCH
EE581, TRIDENT SCHOLAR PROJECT
EE582, TRIDENT SCHOLAR PROJECT
EE583, TRIDENT SCHOLAR PROJECT
EE584, TRIDENT SCHOLAR PROJECT
EE588, TRIDENT SCHOLAR PROJECT
EE589, TRIDENT SCHOLAR PROJECT
EE590, TRIDENT SCHOLAR PROJECT
EE591, TRIDENT SCHOLAR PROJECT
EE592, TRIDENT SCHOLAR PROJECT
EG471, ENGINEERING DESIGN I
EG472, ENGINEERING DESIGN II
EM205, INTRODUCTION TO MECHANICAL ENGINEERING
EM211, STATICS
EM211A, STATICS
EM214, ELEMENTS OF MATERIALS SCIENCE
EM215, INTRODUCTION TO MECHANICAL ENGINEERING
EM217, STRENGTH OF MATERIALS
EM217L, STRENGTH OF MATERIALS LAB
EM221, MECHANICS FOR NUCLEAR ENGINEERING
EM232, DYNAMICS
EM232A, DYNAMICS
EM282, FLUID DYNAMICS LAB
EM300, PRINCIPLES OF PROPULSION
EM300L, PRINCIPLES OF PROPULSION - LAB
EM300N, PRINCIPLES OF PROPULSION/NUCLEAR
EM313, MATERIALS SCIENCE
EM313L, MATERIALS SCIENCE LAB
EM316, THERMO-FLUID SCIENCES I
EM317, THERMO-FLUID SCIENCES II
EM317L, THERMO-FLUID SCIENCES II - LAB
EM318, APPLIED FLUID MECHANICS
EM319, ENGINEERING THERMODYNAMICS
EM319A, ENGINEERING THERMODYNAMICS
EM320, APPLIED THERMODYNAMICS
EM320L, APPLIED THERMODYNAMICS - LAB
EM321, MECHANICS/MATERIALS FOR AERO
EM321L, MECHANICS & MATERIALS FOR AERO ENG
EM324, FLUID DYNAMICS
EM324L, FLUID DYNAMICS LAB
EM327, FLUID DYNAMICS
EM362, REACTOR PHYSICS I
EM371, INTRODUCTION TO DESIGN
EM375, MECHANICAL ENGINEERING EXPERIMENTATION
EM380, ENGINEERING REVIEW
EM411, HEAT TRANSFER
EM415, HEAT TRANSFER
EM415L, HEAT TRANSFER LAB
EM417, INTERMEDIATE MECHANICS OF MATERIALS
EM420, PROJECT MANAGEMENT MECH ENG
EM423, MECHANICAL VIBRATIONS
EM424, ANALYTICAL METHODS MECHANICS
EM432, COMPUTER METHODS IN STRUCTURAL MECHANICS
EM433, COMPUTER-AIDED MANUFACTURING
EM436, MECHANICS OF COMPOSITE STRUC
EM441, DIRECTED ENERGY WEAPONS
EM442, COMPUTER-AIDED THERMODYNAMICS
EM443, ENERGY CONVERSION
EM444, SOLAR ENGINEERING
EM445, NONDESTRUCTIVE EVALUATION
EM446, "HEATING,  VENTILATION AND AIR CONDITIONING:  DESIGN"
EM447, WIND AND TIDAL ENERGY
EM450, COMPRESSIBLE FLOW AND TURBOMACHINERY
EM451, DESIGN OF ROBOTIC ELEMENTS
EM452, ENGINEERING MATERIALS
EM453, MATERIALS: PROCESSING & FABRICATION
EM454, MECHANICAL BEHAVIOR OF MATERIALS
EM456, CORROSION AND CORROSION CONTROL
EM458, FAILURE ANALYSIS
EM461, "ENGINES:  PRINCIPLES,  DESIGN AND APPLICATIONS"
EM463, REACTOR PHYSICS II
EM468, NUCLEAR ENERGY CONVERSION
EM471, MECHANICAL ENGINEERING DESIGN I
EM471A, MECH ENGR EXPERIMENTATION
EM471B, MECH ENGR EXPERIMENTATION
EM472, MECHANICAL ENGINEERING DESIGN II
EM474, GAS TURBINES: DESIGN AND ANALYSIS
EM475, MOTORSPORTS ENGINEERING
EM476, UNDERSEA POWER SYSTEMS
EM477, COMPUTER-AIDED DESIGN
EM482, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM482L, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485A, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485B, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485C, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485D, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485E, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485F, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485G, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485H, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM485R, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486A, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486B, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486C, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486D, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486E, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486F, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486H, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486I, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486J, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM486K, ADVANCED TOPICS IN MECHANICAL ENGINEERING
EM491, MECH ENGR RES OR DES PROJ
EM492, MECH ENGR RES OR DES PROJ
EM493, MECH ENGR RES OR DES PROJ
EM494, MECH ENGR RES OR DES PROJ
EM495, MECH ENGR RES OR DES PROJ
EM496, MECH ENGR RES OR DES PROJ
EM499, MECH ENGR RES OR DES PROJ
EM583, TRIDENT SCHOLAR PROJECT
EM589, TRIDENT SCHOLAR PROJECT
EM590, TRIDENT SCHOLAR PROJECT
EM591, TRIDENT SCHOLAR PROJECT
EM592, TRIDENT SCHOLAR PROJECT
EN200, PRINCIPLES OF SHIP PERFORMANCE
EN221, ENGR MECH W/MARINE APPS I
EN222, ENGR MECH W/MARINE APPS II
EN245, PRINCIPLES OF OCEAN SYSTEMS ENGINEERING
EN245A, PRINCIPLES OF OCEAN SYSTEMS ENGINEERING
EN246, PRINCIPLES OF NAVAL ARCHITECTURE
EN247, PRINCIPLES OF NAVAL ARCH & MARINE ENGR
EN275, OCEAN MEASUREMENT & ANALYSIS
EN285, TOPICS IN NAVAL ARCH & OCEAN ENGN
EN286, TOPICS IN NAVAL ARCH & OCEAN ENGN
EN300, NAVAL ENGINEERING II
EN330, PROBS & STATS W/ OCEAN APPLS
EN342, SHIP HYDROSTATICS AND STABILITY
EN353, RESISTANCE AND PROPULSION
EN358, SHIP STRUCTURES
EN361, MARINE POWER SYSTEMS
EN362, REACTOR PHYSICS I
EN366, COMPUTER METHODS IN POWER ENGINEERING
EN380, NAVAL MATERIALS SCIENCE AND ENGINEERING
EN400, PRINCIPLES OF SHIP PERFORMANCE
EN400L, PRINCIPLES OF SHIP PERFORMANCE - LAB
EN401, ENGINEERING IN THE LITTORAL ZONE
EN401L, ENGINEERING IN THE LITTORAL ZONE - LAB EXCHANGE
EN405, NAVAL APPL OF THERMO
EN411, OCEAN ENVIRONMENTAL ENGINEERING I
EN412, OCEAN ENVIRONMENTAL ENGINEERING II
EN420, COASTAL ENGINEERING
EN425, OCEAN THERMAL SYSTEMS
EN426, PORT AND HARBOR ENGINEERING
EN430, UNDERWATER WORK SYSTEMS
EN431, MARINE ENGINEERING SYSTEMS
EN440, DESIGN OF FOUNDATIONS FOR OCEAN STRUCTURES
EN441, OCEAN ENGINEERING STRUCTURES I
EN442, OCEAN ENG STRUCTURES II
EN443, MARINE ENGINEERING DESIGN I
EN445, MARINE FABRICATION METHODS
EN447, AUTONOMOUS VESSEL DESIGN
EN448, AUTONOMOUS VESSEL FAB & EVAL
EN450, ENGINEERING ECONOMIC ANALYSIS
EN452, STRUCTURAL RELIABILITY
EN454, PROJ MGMT FOR OCEAN ENGRS
EN455, SEAKEEPING AND MANEUVERING
EN456, ADVANCED METHODS IN SHIP DESIGN
EN457, HYDROFOIL AND PROPELLER DESIGN
EN458, ADVANCED MARINE VEHICLES
EN458H, ADVANCED MARINE VEHICLES (HONORS)
EN460, MARINE ENGINEERING DESIGN II
EN461, OCEAN SYSTEMS ENGINEERING DESIGN I
EN462, OCEAN SYSTEMS ENGINEERING DESIGN II
EN462C, OCEAN SYS ENGR DESIGN
EN462U, OCEAN SYS ENGR DESIGN
EN463, REACTOR PHYSICS II
EN465, ADV MARINE POWER SYST
EN467, THERMAL ENGINEERING *
EN468, NUCLEAR ENERGY CONVERSION
EN470, LIFE SUPPORT SYSTEMS
EN471, SHIP DESIGN I
EN472, GAS TURBINES:  DESIGN AND ANALYSIS
EN475, OCEAN ENGINEERING MECHANICS
EN476, SHIP DESIGN II
EN477, UNDERSEA POWER SYSTEMS
EN478, SUBMARINE & SUBMERSIBLE DESIGN
EN481, ADVANCED TOPICS IN NAVAL ENGINEERING
EN481A, ADVANCED TOPICS IN NAVAL ENGINEERING
EN481B, ADVANCED TOPICS IN NAVAL ENGINEERING
EN481H, ADVANCED TOPICS IN NAVAL ARCHITECTURE
EN482, ADVANCED TOPICS IN NAVAL ENGINEERING
EN482G, EOE DESIGN SEMINAR
EN482H, SP READINGS IN NAVAL ARCH
EN482O, ADVANCED TOPICS IN NAVAL ENGINEERING
EN482U, TOPICS IN NAVAL ARCHITECURE
EN482X, NAVAL ENGINEERING I LAB
EN484, ADVANCED TOPICS IN NAVAL ENGINEERING
EN485A, ADVANCED TOPICS IN NAVAL ENGINEERING
EN485B, ADVANCED TOPICS IN NAVAL ENGINEERING
EN485C, ADVANCED TOPICS IN NAVAL ENGINEERING
EN485M, ADVANCED TOPICS IN NAVAL ENGINEERING
EN485N, SPECIAL TOPICS IN NAVAL ARCHITECTURE
EN485O, SPECIAL TOPICS IN OCEAN ENGINEERING
EN486, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486A, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486B, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486C, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486D, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486E, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486F, ENVIR ISSUES IN OCEAN I
EN486G, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486H, ADVANCED STRUCT FOR OCEAN
EN486I, GREEN SHIP ENVIRN SYST
EN486J, HUMAN POWERED SUB DESGN
EN486L, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486M, ADVANCED TOPICS IN NAVAL ENGINEERING
EN486N, SPECIAL TOPICS IN NAVAL ARCHITECTURE
EN486O, SPECIAL TOPICS IN NAVAL ARCHITECTURE
EN491, NAVAL ENGR RES DESIGN PROJ
EN492, NAVAL ENGR RES DESIGN PROJ
EN493, NAVAL ENGR RES DESIGN PROJ
EN494, NAVAL ENGR RES DESIGN PROJ
EN495, NAVAL ENGR RES DESIGN PROJ
EN496, NAVAL ENGR RES DESIGN PROJ
EN497, INDEPENDENT RESEARCH
EN503H, HONORS SENIOR THESIS 1
EN504H, HONORS SENIOR THESIS 2
EN583, TRIDENT SCHOLAR PROJECT
EN589, TRIDENT SCHOLAR PROJECT
EN590, TRIDENT SCHOLAR PROJECT
EN592, TRIDENT SCHOLAR PROJECT
ER301, FUNDAMENTALS OF NUCLEAR ENGINEERING
ER313, NUCLEAR MATERIAL SCIENCE
ER362, REACTOR PHYSICS
ER371, NUCLEAR PLANT DESIGN
ER463, RADIATION ENGINEERING
ER468, NUCLEAR PLANT ENGINEERING
ER482, TOPICS IN NUCLEAR ENGINEERING
ER485A, ADVANCED TOPICS IN NUCLEAR ENGINEERING
ER486A, ADVANCED TOPICS IN NUCLEAR ENGINEERING
ER591, TRIDENT SCHOLAR PROJECT
ER592, TRIDENT SCHOLAR PROJECT
ES200, INTRO TO SYSTEMS ENGINEERING
ES201, INTRO TO SYSTEMS ENGINEERING
ES202, PRINCIPLES OF MECHATRONICS
ES282, TOPICS IN SYSTEMS ENGINEERING
ES300, NAVAL WEAPONS SYSTEMS
ES301, SYSTEM MODELING AND SIMULATION
ES301L, SYSTEM MODELING AND SIMULATION - LAB
ES302, APPLIED CONTROL SYSTEMS AND INSTRUMENTATION
ES303, LINEAR CONTROL SYSTEMS
ES303H, HONORS LINEAR CONTROL SYSTEMS
ES304, MODERN CONTROL SYSTEMS
ES304H, HONORS MODERN CONTROL SYS
ES305, LINEAR CONTROL SYSTEMS
ES305H, HONORS LINEAR CONTROL SYSTEMS
ES305L, LINEAR CONTROL SYSTEMS - LAB
ES306, ADVANCED CONTROL SYSTEMS
ES306H, HONORS ADV CONTROL SYSTEMS
ES307, LINEAR CONTROL SYSTEMS
ES308, CONTROL SYSTEMS DESIGN LABORATORY
ES309, GUIDED DESIGN EXPERIENCE
ES310, INTRODUCTION TO WEAPONS SYSTEMS
ES320L, WEAPONS SYSTEMS LABORATORY SUPPLEMENT
ES321L, CONTROL SYSTEMS LABORATORY
ES360, CONTROL SYSTEMS LABORATORY
ES360A, CONTROL SYSTEMS LABORATORY
ES400, WEAPONS SYSTEMS ENGR
ES401, ENGINEERING DESIGN METHODS
ES402, SYSTEMS ENGINEERING DESIGN
ES403, ENGINEERING DESIGN METHODS
ES404, ENGINEERING DESIGN METHODS
ES405, APPLIED SENSORS AND ACTUATORS
ES410, CONTROL SYSTEMS AND THEIR APPLICATION TO WEAPONS
ES410L, CONTROL SYSTEMS & THEIR APPL TO WEAPONS (LAB)
ES413, DIGITAL CONTROL SYSTEMS
ES415, NONLINEAR CONTROL SYSTEMS
ES418, OPTIMAL CONTROL & ESTIMATION
ES419, WEAPONS SYSTEM ENGINEERING
ES420, WEAPONS SYSTEM ENGINEERING
ES421, INTRO TO COMM & INFO SYSTEMS
ES422, MODERN COMM & INFO SYSTEMS
ES430, EMBEDDED MICROCONTROLLER SYS
ES432, EMBEDDED MICROCONTROLLER APPLICATIONS
ES440, ENVIRONMENTAL SYSTEMS ENGINEERING
ES450, INTRODUCTION TO ROBOTIC SYSTEMS
ES451, MOBILE ROBOT DESIGN
ES452, ADVANCED TOPICS IN ROBOTICS
ES453, INTRO TO COMPUTER VISION
ES456, AUTONOMOUS VEHICLES
ES461, QUANTITATIVE METHODS FOR MANAGEMENT
ES462, EMERGING TECHNOLOGIES
ES464, SURVEY OF ENGINEERING ECONOMICS
ES470, DESKTOP MANUFACTURING AND PRODUCT DESIGN
ES481, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES481A, ADVANCED TOPICS IN SYSTEM ENGINEERING
ES481B, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES482, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES482B, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES484B, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485A, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485B, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485C, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485E, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485F, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485G, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES485H, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486A, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486B, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486D, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486E, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES486F, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES487, ADVANCED TOPICS IN SYSTEMS ENGINEERING
ES487G, ADV TOPICS IN SYSTEMS ENGINEERING
ES495, SYSTEMS ENGR RESEARCH
ES496, SYSTEMS ENGR RESEARCH
ES497, SYSTEMS ENGINEERING RESEARCH
ES498, SYSTEMS ENGINEERING RESEARCH
ES502, HONORS RESEARCH AND DESIGN
ES503, ADVANCED TECHNOLOGIES
ES582, TRIDENT SCHOLAR PROJECT
ES583, TRIDENT SCHOLAR PROJECT
ES584, TRIDENT SCHOLAR PROJECT
ES588, TRIDENT SCHOLAR PROJECT
ES589, TRIDENT SCHOLAR PROJECT
ES590, TRIDENT SCHOLAR PROJECT
ES591, TRIDENT SCHOLAR PROJECT
ES592, TRIDENT SCHOLAR PROJECT
EX281, INTRODUCTION TO ENGINEERING
